智取威虎山,4.2,历史 / 动画,中国大陆,2011年12月30日,50万
极速先锋,2.8,剧情 / 动作 / 爱情,中国大陆/日本,2011年12月23日,45万
新月魅影,2.6,悬疑 / 惊悚 / 恐怖,中国大陆,2011年12月20日,120万
双人床条约,5.2,喜剧 / 爱情,中国大陆,2011年12月30日,160万
2012来了,3.5,剧情 / 喜剧,中国大陆,2011年12月31日,221万
玩命狙击 มายเบสท์บอดี้การ์ด,3.2,动作 / 犯罪,泰国,2011年12月30日,750万
倾城之泪,4.9,剧情 / 爱情,中国大陆,2011年12月22日,4240万
极速天使,5.1,剧情 / 动作,中国大陆/中国香港,2011年12月27日,2390万
亲密敌人,5.6,剧情 / 爱情,中国大陆,2011年12月23日,1.1039亿
不怕贼惦记,4.5,剧情 / 喜剧 / 悬疑,中国大陆,2011年12月9日,375万
追爱,6.0,喜剧 / 爱情,中国大陆/中国台湾,2011年12月9日,480万
翻滚吧！阿信 翻滾吧！阿信,7.4,剧情 / 喜剧 / 运动,中国台湾,2011年12月9日,600万
三傻大闹宝莱坞 3 Idiots,9.2,剧情 / 喜剧 / 爱情 / 歌舞,印度,2011年12月8日,1370万
深海之战 7광구,5.3,动作 / 科幻 / 悬疑 / 惊悚,韩国,2011年12月6日,2175万
龙门飞甲,6.8,剧情 / 动作 / 武侠 / 古装,中国大陆/中国香港,2011年12月15日,5.4055亿
金陵十三钗,8.3,剧情 / 历史 / 战争,中国大陆/中国香港,2011年12月15日,5.923亿
午夜凶梦,3.5,悬疑 / 惊悚 / 恐怖,中国大陆,2011年11月25日,870万
